"id","blog_content_id","no","name","content","detail","blog_category_id","user_id","status","posts_date","content_draft","detail_draft","publish_begin","publish_end","exclude_search","eye_catch","created","modified"
"16","1","4","モーニングコールセンター","","<p><a href=""https://morningcall.center/"" target=""_blank"">https://morningcall.center/</a></p>

<p>電話をかけて起こす、モーニングコールサービスです。<br />
1回50円</p>

<p>クイズで起こすプランもあります。10回連続正解で1000ポイントバック！<br />
1回100円</p>

<p>起きないと上司、母親などに連絡してしまう機能もあります。（予備番号）<br />
緊張感のある朝にいかがでしょうか？</p>

<p>近々リニューアルを予定しています。</p>","","1","1","2018-04-08 19:34:22","","","","","","2018/04/00000004_eye_catch.jpg","2018-04-08 19:34:53","2018-04-09 12:20:42"
"17","2","1","ホームページリリース","<p>概要ですね</p>","<p>合同会社ダブミリを創業しました。<br />
基本的にはWEBサービスを作りますが、baserCMSに限りホームページの制作も承ります。<br />
くわしくはこちらへ、<a href=""/service"">SERVICE:ホームページ制作</a></p>

<p>新規開業、小規模店舗、スモールビジネスなど、インターネットとかあまり詳しくないけど、<br />
ホームページ、ドメイン、メールアドレスはあったほうが良いよね？<br />
という方を対象に、その辺を全部引き受けます。</p>

<p>そんなわけで、ホームページリリースしました。<br />
今後とも宜しくお願い申し上げます。</p>

<p>Special thanks<br />
<a href=""https://basercms.net/"" target=""_blank"">baserCMS</a><br />
<a href=""https://getbootstrap.com/"" target=""_blank"">bootstrap4</a><br />
<a href=""https://tico-gen.herokuapp.com/"" target=""_blank"">tico</a><br />
<a href=""https://kokushin.github.io/jpn.css/"" target=""_blank"">jpn.css</a></p>","","1","1","2018-04-08 19:48:23","","","","","","2018/04/00000001_eye_catch.jpg","2018-04-08 20:01:22","2018-04-14 16:13:17"
"18","2","2","baserCMSテーマ[dubmilli]リリース","","<p>このホームページをそのままbaserCMSのテーマにして配布しています。<br />
よろしければご利用ください。<br />
<a href=""https://market.basercms.net/products/detail.php?product_id=120"" target=""_blank"">https://market.basercms.net/products/detail.php?product_id=120</a></p>

<p>もっとよろしければプルリクください。<br />
<a href=""https://github.com/binbin4649/dubmilli"" target=""_blank"">https://github.com/binbin4649/dubmilli</a></p>","","1","1","2018-04-14 17:17:57","","","","","","2018/04/00000002_eye_catch.png","2018-04-14 17:23:35","2018-04-14 17:23:36"
